crate_id,name,updated_at,created_at,downloads,repository,version
203879,libfuse-sys,2022-07-23 10:30:57.156166,2020-02-01 08:49:57.012103,1438,https://github.com/richard-w/libfuse-sys,0.4.0
206791,jl-sys,2022-08-21 13:42:56.769961,2020-02-09 19:30:31.323631,4082,https://github.com/Taaitaaiger/jlrs,0.18.0
211783,rquickjs-sys,2022-08-20 16:00:23.940442,2020-02-23 15:36:05.303990,9985,https://github.com/DelSkayn/rquickjs.git,0.1.7
214088,libwebp-sys2,2022-05-21 12:09:05.276310,2020-03-01 04:08:33.490574,61713,https://github.com/qnighy/libwebp-sys2-rs,0.1.4
220645,vulkan-bindings,2022-10-22 22:36:36.915363,2020-03-20 08:21:32.216505,1696,https://github.com/bsekura/vulkan-bindings,1.3.231
223795,mdbx-sys,2022-08-24 15:48:12.634547,2020-03-28 13:04:30.817593,164096,https://github.com/vorot93/libmdbx-rs,0.12.1-0
225979,sasl2-sys,2022-05-26 23:47:10.865777,2020-04-03 17:14:45.638947,643248,https://github.com/MaterializeInc/rust-sasl,0.1.20+2.1.28
232264,windows-dll-codegen,2022-04-19 15:40:56.867793,2020-04-20 16:46:06.053201,172162,https://github.com/thisKai/rust-windows-dll,0.4.0
232265,windows-dll,2022-06-23 18:42:01.951736,2020-04-20 16:47:21.993676,171915,https://github.com/thisKai/rust-windows-dll,0.4.1
233601,gsasl-sys,2021-12-03 17:34:36.536766,2020-04-24 08:57:07.833548,8734,https://github.com/dequbed/rsasl/tree/1.X.X/gsasl-sys,0.2.4
234761,krb5-src,2022-01-16 07:01:18.648346,2020-04-27 19:58:57.150496,420542,https://github.com/MaterializeInc/rust-krb5-src,0.3.2+1.19.2
235951,leap-sys,2022-07-13 21:28:49.690742,2020-04-30 21:31:04.477527,604,https://github.com/urholaukkarinen/leap-sys,0.2.0
238722,discord-cassandra-cpp,2022-06-17 07:47:14.656169,2020-05-07 22:46:46.713013,222897,https://github.com/Metaswitch/cassandra-rs,0.16.6
241146,coin_cbc_sys,2022-10-07 08:18:45.148105,2020-05-13 15:35:59.421422,77514,https://github.com/KardinalAI/coin_cbc,0.1.2
243633,bass-sys,2022-08-10 17:45:22.413091,2020-05-19 23:59:37.156763,1912,https://github.com/KernelErr0r/bass-sys,2.2.2
244308,fastly-sys,2022-10-20 18:04:38.796667,2020-05-21 21:00:06.801611,124335,,0.8.9
246680,nauty-Traces-sys,2022-09-26 11:09:13.024473,2020-05-27 14:02:05.814488,1042,https://github.com/a-maier/nauty-Traces-sys,0.3.0
249656,psa-crypto-sys,2022-09-02 14:37:04.539263,2020-06-03 13:13:16.695793,33892,https://github.com/parallaxsecond/rust-psa-crypto,0.9.3
249660,psa-crypto,2022-09-02 14:39:20.484369,2020-06-03 13:20:54.171801,30780,https://github.com/parallaxsecond/rust-psa-crypto,0.9.2
252659,rusty_ffmpeg,2022-09-12 11:53:29.899363,2020-06-11 07:48:07.148808,24906,https://github.com/CCExtractor/rusty_ffmpeg/,0.10.0+ffmpeg.5.1
255210,fpzip-sys,2022-07-19 04:29:35.810470,2020-06-18 04:39:28.982152,916,https://github.com/jvo203/fpzip-sys,0.1.6
255595,fuser,2022-08-25 02:37:20.767015,2020-06-19 06:08:48.399994,52620,https://github.com/cberner/fuser,0.11.1
255828,allo-isolate,2022-10-04 15:57:12.187162,2020-06-19 21:53:48.114729,558714,https://github.com/sunshine-protocol/allo-isolate,0.1.14-beta.4
259247,libftd2xx-ffi,2022-09-17 18:22:19.206956,2020-06-28 23:35:04.104360,25333,https://github.com/ftdi-rs/libftd2xx-ffi,0.8.5
266718,evil-janet,2022-09-04 05:06:08.471772,2020-07-19 00:56:08.884037,5230,https://github.com/GrayJack/evil-janet,1.24.1
275523,libblkid-rs-sys,2022-08-26 20:05:00.657947,2020-08-11 22:34:45.596096,40388,https://github.com/stratis-storage/libblkid-rs,0.1.4
276885,jpegxl-sys,2022-09-24 13:59:08.175486,2020-08-15 02:09:48.151479,4233,https://github.com/inflation/jpegxl-rs,0.7.0+libjxl-0.7.0
279979,gtk-layer-shell-sys,2022-10-23 21:18:35.059815,2020-08-24 02:42:11.069582,31337,https://github.com/pentamassiv/gtk-layer-shell-gir/tree/main/gtk-layer-shell-sys,0.5.0
282873,web-extensions-sys,2022-10-26 15:36:19.824946,2020-08-31 00:03:07.516220,960,https://github.com/web-extensions-rs/web-extensions-sys,0.3.3
283686,rofisys,2022-08-04 17:59:53.161436,2020-09-01 23:00:23.511123,764,https://github.com/pnnl/rofi-sys,0.2.3
283984,zwp-virtual-keyboard,2022-10-08 22:23:35.231450,2020-09-02 20:34:05.172480,5622,https://github.com/pentamassiv/zwp-virtual-keyboard,0.2.7
285299,zwp-input-method,2022-06-11 00:35:31.474699,2020-09-06 04:42:10.140619,754,https://github.com/pentamassiv/zwp-input-method,0.3.1
287516,flint-sys,2022-09-03 00:18:48.259823,2020-09-11 21:13:30.542973,2612,https://github.com/alex-ozdemir/flint-rs,0.7.1
293467,vst_window,2022-02-08 23:32:10.302300,2020-09-27 17:16:01.488544,1087,https://github.com/antonok-edm/vst_window,0.3.0
296947,fizzy,2022-06-28 13:08:48.997625,2020-10-07 12:57:30.426913,458,https://github.com/wasmx/fizzy,0.8.0
304490,openvino-sys,2022-10-21 18:13:53.799237,2020-10-22 22:53:04.919944,162945,https://github.com/intel/openvino-rs,0.4.2
307714,gnurx-sys,2022-09-03 04:05:44.196102,2020-11-02 02:53:27.942670,890,https://github.com/koutheir/gnurx-sys,0.3.2
310938,ytnef_sys,2021-11-14 18:03:25.188690,2020-11-10 19:53:13.669903,516,https://github.com/alechussey/ytnef-sys.git,0.2.0
311370,boring-sys,2022-09-16 18:05:23.524211,2020-11-11 20:26:00.945247,193807,https://github.com/cloudflare/boring,2.1.0
314493,polkit-sys,2022-10-01 23:19:10.686551,2020-11-20 21:16:46.655319,791,https://codeberg.org/valpackett/polkit-rs,0.15.1
314498,polkit-agent-sys,2022-10-01 23:18:56.663909,2020-11-20 21:19:54.928195,495,https://codeberg.org/valpackett/polkit-rs,0.15.1
320534,openbsd,2021-11-19 12:40:27.947694,2020-12-07 16:09:59.320778,516,https://github.com/joshua-cooper/openbsd-rs,0.1.2
